binomial;country;continent;genus;family;snake_sub_family;poisonous
Crotaphopeltis hotamboeia;Zambia;Africa;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
Crotaphopeltis hotamboeia;Rwanda;Africa;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
Crotaphopeltis hotamboeia;unknown;unknown;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
Crotaphopeltis hotamboeia;Mozambique;Africa;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
Crotaphopeltis hotamboeia;Zimbabwe;Africa;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
Crotaphopeltis hotamboeia;Democratic Republic of the Congo;Africa;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
Crotaphopeltis hotamboeia;Tanzania;Africa;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
Crotaphopeltis hotamboeia;Ghana;Africa;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
Crotaphopeltis hotamboeia;Swaziland;Africa;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
Crotaphopeltis hotamboeia;Uganda;Africa;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
Crotaphopeltis hotamboeia;South Sudan;Africa;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
Crotaphopeltis hotamboeia;Malawi;Africa;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
Crotaphopeltis hotamboeia;Mali;Africa;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
Crotaphopeltis hotamboeia;Ethiopia;Africa;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
Crotaphopeltis hotamboeia;Angola;Africa;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
Crotaphopeltis hotamboeia;Nigeria;Africa;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
Crotaphopeltis hotamboeia;Benin;Africa;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
Crotaphopeltis hotamboeia;Gambia;Africa;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
Daboia russelii;India;Asia;Daboia;Viperidae;Daboia russelii;peconhento
Daboia russelii;unknown;unknown;Daboia;Viperidae;Daboia russelii;peconhento
Daboia russelii;Thailand;Asia;Daboia;Viperidae;Daboia russelii;peconhento
Daboia russelii;Pakistan;Asia;Daboia;Viperidae;Daboia russelii;peconhento
Daboia russelii;Sri Lanka;Asia;Daboia;Viperidae;Daboia russelii;peconhento
Dendrelaphis pictus;Vietnam;Asia;Dendrelaphis;Colubridae;Dendrelaphis pictus;nao peconhento
Dendrelaphis pictus;Indonesia;Asia;Dendrelaphis;Colubridae;Dendrelaphis pictus;nao peconhento
Dendrelaphis pictus;unknown;unknown;Dendrelaphis;Colubridae;Dendrelaphis pictus;nao peconhento
Dendrelaphis pictus;Thailand;Asia;Dendrelaphis;Colubridae;Dendrelaphis pictus;nao peconhento
Dendrelaphis pictus;Singapore;Asia;Dendrelaphis;Colubridae;Dendrelaphis pictus;nao peconhento
Dendrelaphis pictus;Malaysia;Asia;Dendrelaphis;Colubridae;Dendrelaphis pictus;nao peconhento
Dendrelaphis pictus;China;Asia;Dendrelaphis;Colubridae;Dendrelaphis pictus;nao peconhento
Dendrelaphis pictus;Cambodia;Asia;Dendrelaphis;Colubridae;Dendrelaphis pictus;nao peconhento
Dendrelaphis pictus;India;Asia;Dendrelaphis;Colubridae;Dendrelaphis pictus;nao peconhento
Dendrelaphis pictus;Bangladesh;Asia;Dendrelaphis;Colubridae;Dendrelaphis pictus;nao peconhento
Dendrelaphis pictus;Laos;Asia;Dendrelaphis;Colubridae;Dendrelaphis pictus;nao peconhento
Dendrelaphis punctulatus;Australia;Oceania;Dendrelaphis;Colubridae;Dendrelaphis punctulatus;nao peconhento
Dendrelaphis punctulatus;Papua New Guinea;Oceania;Dendrelaphis;Colubridae;Dendrelaphis punctulatus;nao peconhento
Dendrelaphis punctulatus;unknown;unknown;Dendrelaphis;Colubridae;Dendrelaphis punctulatus;nao peconhento
Dendroaspis polylepis;South Africa;Africa;Dendroaspis;Elapidae;Dendroaspis polylepis;peconhento
Dendroaspis polylepis;unknown;unknown;Dendroaspis;Elapidae;Dendroaspis polylepis;peconhento
Dendroaspis polylepis;Zimbabwe;Africa;Dendroaspis;Elapidae;Dendroaspis polylepis;peconhento
Dendroaspis polylepis;Tanzania;Africa;Dendroaspis;Elapidae;Dendroaspis polylepis;peconhento
Dendroaspis polylepis;Kenya;Africa;Dendroaspis;Elapidae;Dendroaspis polylepis;peconhento
Dendroaspis polylepis;Swaziland;Africa;Dendroaspis;Elapidae;Dendroaspis polylepis;peconhento
Dendroaspis polylepis;Botswana;Africa;Dendroaspis;Elapidae;Dendroaspis polylepis;peconhento
Dendroaspis polylepis;Zambia;Africa;Dendroaspis;Elapidae;Dendroaspis polylepis;peconhento
Dendroaspis polylepis;Namibia;Africa;Dendroaspis;Elapidae;Dendroaspis polylepis;peconhento
Dendroaspis polylepis;Sweden;Europe;Dendroaspis;Elapidae;Dendroaspis polylepis;peconhento
Dendroaspis polylepis;United States of America;North America;Dendroaspis;Elapidae;Dendroaspis polylepis;peconhento
Dendroaspis polylepis;Malawi;Africa;Dendroaspis;Elapidae;Dendroaspis polylepis;peconhento
Dendroaspis polylepis;Democratic Republic of the Congo;Africa;Dendroaspis;Elapidae;Dendroaspis polylepis;peconhento
Dendroaspis polylepis;South Sudan;Africa;Dendroaspis;Elapidae;Dendroaspis polylepis;peconhento
Dendroaspis polylepis;Senegal;Africa;Dendroaspis;Elapidae;Dendroaspis polylepis;peconhento
Dendroaspis polylepis;United Kingdom;Europe;Dendroaspis;Elapidae;Dendroaspis polylepis;peconhento
Dendroaspis polylepis;Germany;Europe;Dendroaspis;Elapidae;Dendroaspis polylepis;peconhento
Dendroaspis polylepis;Angola;Africa;Dendroaspis;Elapidae;Dendroaspis polylepis;peconhento
Diadophis punctatus;United States of America;North America;Diadophis;Colubridae;Diadophis punctatus;nao peconhento
Diadophis punctatus;unknown;unknown;Diadophis;Colubridae;Diadophis punctatus;nao peconhento
Diadophis punctatus;Mexico;North America;Diadophis;Colubridae;Diadophis punctatus;nao peconhento
Diadophis punctatus;Canada;North America;Diadophis;Colubridae;Diadophis punctatus;nao peconhento
Dispholidus typus;Swaziland;Africa;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;South Africa;Africa;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;unknown;unknown;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;Namibia;Africa;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;Angola;Africa;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;Tanzania;Africa;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;United States of America;North America;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;Kenya;Africa;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;Cameroon;Africa;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;Mozambique;Africa;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;Togo;Africa;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;Zimbabwe;Africa;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;Sierra Leone;Africa;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;Botswana;Africa;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;Zambia;Africa;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;Uganda;Africa;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;Czech Republic;Europe;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;Democratic Republic of the Congo;Africa;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;Nigeria;Africa;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;Germany;Europe;Dispholidus;Colubridae;Dispholidus typus;peconhento
Dispholidus typus;Malawi;Africa;Dispholidus;Colubridae;Dispholidus typus;peconhento
Drymarchon couperi;unknown;unknown;Drymarchon;Colubridae;Drymarchon couperi;nao peconhento
Drymarchon couperi;United States of America;North America;Drymarchon;Colubridae;Drymarchon couperi;nao peconhento
Elaphe dione;South Korea;Asia;Elaphe;Colubridae;Elaphe dione;nao peconhento
Elaphe dione;unknown;unknown;Elaphe;Colubridae;Elaphe dione;nao peconhento
Elaphe dione;Russia;Europe;Elaphe;Colubridae;Elaphe dione;nao peconhento
Elaphe dione;Mongolia;Asia;Elaphe;Colubridae;Elaphe dione;nao peconhento
Elaphe dione;China;Asia;Elaphe;Colubridae;Elaphe dione;nao peconhento
Elaphe dione;Kazakhstan;Asia;Elaphe;Colubridae;Elaphe dione;nao peconhento
Elaphe dione;Uzbekistan;Asia;Elaphe;Colubridae;Elaphe dione;nao peconhento
Elaphe dione;Ukraine;Europe;Elaphe;Colubridae;Elaphe dione;nao peconhento
Elaphe dione;Kyrgyzstan;Asia;Elaphe;Colubridae;Elaphe dione;nao peconhento
Epicrates cenchria;Brazil;South America;Epicrates;Boidae;Epicrates cenchria;nao peconhento
Epicrates cenchria;unknown;unknown;Epicrates;Boidae;Epicrates cenchria;nao peconhento
Epicrates cenchria;Ecuador;South America;Epicrates;Boidae;Epicrates cenchria;nao peconhento
Epicrates cenchria;Colombia;South America;Epicrates;Boidae;Epicrates cenchria;nao peconhento
Epicrates cenchria;Peru;South America;Epicrates;Boidae;Epicrates cenchria;nao peconhento
Epicrates cenchria;Costa Rica;North America;Epicrates;Boidae;Epicrates cenchria;nao peconhento
Epicrates cenchria;Bolivia;South America;Epicrates;Boidae;Epicrates cenchria;nao peconhento
Epicrates cenchria;United States of America;North America;Epicrates;Boidae;Epicrates cenchria;nao peconhento
Epicrates cenchria;Belgium;Europe;Epicrates;Boidae;Epicrates cenchria;nao peconhento
Epicrates cenchria;Suriname;South America;Epicrates;Boidae;Epicrates cenchria;nao peconhento
Epicrates cenchria;Argentina;South America;Epicrates;Boidae;Epicrates cenchria;nao peconhento
Epicrates cenchria;United Kingdom;Europe;Epicrates;Boidae;Epicrates cenchria;nao peconhento
Epicrates cenchria;French Guiana;unknown;Epicrates;Boidae;Epicrates cenchria;nao peconhento
Eunectes murinus;Ecuador;South America;Eunectes;Boidae;Eunectes murinus;nao peconhento
Eunectes murinus;unknown;unknown;Eunectes;Boidae;Eunectes murinus;nao peconhento
Eunectes murinus;Colombia;South America;Eunectes;Boidae;Eunectes murinus;nao peconhento
Eunectes murinus;Venezuela;South America;Eunectes;Boidae;Eunectes murinus;nao peconhento
Eunectes murinus;Germany;Europe;Eunectes;Boidae;Eunectes murinus;nao peconhento
Eunectes murinus;Brazil;South America;Eunectes;Boidae;Eunectes murinus;nao peconhento
Eunectes murinus;France;Europe;Eunectes;Boidae;Eunectes murinus;nao peconhento
Eunectes murinus;Peru;South America;Eunectes;Boidae;Eunectes murinus;nao peconhento
Eunectes murinus;United States of America;North America;Eunectes;Boidae;Eunectes murinus;nao peconhento
Eunectes murinus;Spain;Europe;Eunectes;Boidae;Eunectes murinus;nao peconhento
Eunectes murinus;French Guiana;unknown;Eunectes;Boidae;Eunectes murinus;nao peconhento
Eunectes murinus;Bolivia;South America;Eunectes;Boidae;Eunectes murinus;nao peconhento
Eunectes murinus;Guyana;South America;Eunectes;Boidae;Eunectes murinus;nao peconhento
Eunectes murinus;Singapore;Asia;Eunectes;Boidae;Eunectes murinus;nao peconhento
Eunectes murinus;Hungary;Europe;Eunectes;Boidae;Eunectes murinus;nao peconhento
Eunectes murinus;Suriname;South America;Eunectes;Boidae;Eunectes murinus;nao peconhento
Eunectes murinus;Malaysia;Asia;Eunectes;Boidae;Eunectes murinus;nao peconhento
Farancia abacura;United States of America;North America;Farancia;Colubridae;Farancia abacura;nao peconhento
Farancia abacura;unknown;unknown;Farancia;Colubridae;Farancia abacura;nao peconhento
Farancia abacura;United Kingdom;Europe;Farancia;Colubridae;Farancia abacura;nao peconhento
Gonyosoma oxycephalum;unknown;unknown;Gonyosoma;Colubridae;Gonyosoma oxycephalum;nao peconhento
Gonyosoma oxycephalum;Germany;Europe;Gonyosoma;Colubridae;Gonyosoma oxycephalum;nao peconhento
Gonyosoma oxycephalum;Malaysia;Asia;Gonyosoma;Colubridae;Gonyosoma oxycephalum;nao peconhento
Gonyosoma oxycephalum;Canada;North America;Gonyosoma;Colubridae;Gonyosoma oxycephalum;nao peconhento
Gonyosoma oxycephalum;Indonesia;Asia;Gonyosoma;Colubridae;Gonyosoma oxycephalum;nao peconhento
Gonyosoma oxycephalum;Philippines;Asia;Gonyosoma;Colubridae;Gonyosoma oxycephalum;nao peconhento
Gonyosoma oxycephalum;Singapore;Asia;Gonyosoma;Colubridae;Gonyosoma oxycephalum;nao peconhento
Gonyosoma oxycephalum;Norway;Europe;Gonyosoma;Colubridae;Gonyosoma oxycephalum;nao peconhento
Gonyosoma oxycephalum;Thailand;Asia;Gonyosoma;Colubridae;Gonyosoma oxycephalum;nao peconhento
Gonyosoma oxycephalum;United Kingdom;Europe;Gonyosoma;Colubridae;Gonyosoma oxycephalum;nao peconhento
Gonyosoma oxycephalum;United States of America;North America;Gonyosoma;Colubridae;Gonyosoma oxycephalum;nao peconhento
Gonyosoma oxycephalum;France;Europe;Gonyosoma;Colubridae;Gonyosoma oxycephalum;nao peconhento
Gonyosoma oxycephalum;Switzerland;Europe;Gonyosoma;Colubridae;Gonyosoma oxycephalum;nao peconhento
Gonyosoma oxycephalum;India;Asia;Gonyosoma;Colubridae;Gonyosoma oxycephalum;nao peconhento
Gonyosoma oxycephalum;Laos;Asia;Gonyosoma;Colubridae;Gonyosoma oxycephalum;nao peconhento
Hemorrhois hippocrepis;Algeria;Africa;Hemorrhois;Colubridae;Hemorrhois hippocrepis;nao peconhento
Hemorrhois hippocrepis;unknown;unknown;Hemorrhois;Colubridae;Hemorrhois hippocrepis;nao peconhento
Hemorrhois hippocrepis;Spain;Europe;Hemorrhois;Colubridae;Hemorrhois hippocrepis;nao peconhento
Hemorrhois hippocrepis;Portugal;Europe;Hemorrhois;Colubridae;Hemorrhois hippocrepis;nao peconhento
Hemorrhois hippocrepis;Italy;Europe;Hemorrhois;Colubridae;Hemorrhois hippocrepis;nao peconhento
Hemorrhois hippocrepis;Morocco;Africa;Hemorrhois;Colubridae;Hemorrhois hippocrepis;nao peconhento
Hemorrhois hippocrepis;Tunisia;Africa;Hemorrhois;Colubridae;Hemorrhois hippocrepis;nao peconhento
Hemorrhois ravergieri;unknown;unknown;Hemorrhois;Colubridae;Hemorrhois ravergieri;nao peconhento
Hemorrhois ravergieri;Afghanistan;Asia;Hemorrhois;Colubridae;Hemorrhois ravergieri;nao peconhento
Hemorrhois ravergieri;Armenia;Europe;Hemorrhois;Colubridae;Hemorrhois ravergieri;nao peconhento
Hemorrhois ravergieri;South Korea;Asia;Hemorrhois;Colubridae;Hemorrhois ravergieri;nao peconhento
Hemorrhois ravergieri;Kyrgyzstan;Asia;Hemorrhois;Colubridae;Hemorrhois ravergieri;nao peconhento
Hemorrhois ravergieri;Kazakhstan;Asia;Hemorrhois;Colubridae;Hemorrhois ravergieri;nao peconhento
Heterodon nasicus;United States of America;North America;Heterodon;Colubridae;Heterodon nasicus;nao peconhento
Heterodon nasicus;unknown;unknown;Heterodon;Colubridae;Heterodon nasicus;nao peconhento
Heterodon nasicus;Canada;North America;Heterodon;Colubridae;Heterodon nasicus;nao peconhento
Heterodon nasicus;United Kingdom;Europe;Heterodon;Colubridae;Heterodon nasicus;nao peconhento
Heterodon platirhinos;unknown;unknown;Heterodon;Colubridae;Heterodon platirhinos;nao peconhento
Heterodon platirhinos;United States of America;North America;Heterodon;Colubridae;Heterodon platirhinos;nao peconhento
Heterodon platirhinos;Canada;North America;Heterodon;Colubridae;Heterodon platirhinos;nao peconhento
Heterodon simus;United States of America;North America;Heterodon;Colubridae;Heterodon simus;nao peconhento
Heterodon simus;unknown;unknown;Heterodon;Colubridae;Heterodon simus;nao peconhento
Hierophis viridiflavus;unknown;unknown;Hierophis;Colubridae;Hierophis viridiflavus;nao peconhento
Hierophis viridiflavus;France;Europe;Hierophis;Colubridae;Hierophis viridiflavus;nao peconhento
Hierophis viridiflavus;Italy;Europe;Hierophis;Colubridae;Hierophis viridiflavus;nao peconhento
Hierophis viridiflavus;Spain;Europe;Hierophis;Colubridae;Hierophis viridiflavus;nao peconhento
Hierophis viridiflavus;Slovenia;Europe;Hierophis;Colubridae;Hierophis viridiflavus;nao peconhento
Hypsiglena torquata;unknown;unknown;Hypsiglena;Colubridae;Hypsiglena torquata;nao peconhento
Hypsiglena torquata;United States of America;North America;Hypsiglena;Colubridae;Hypsiglena torquata;nao peconhento
Hypsiglena torquata;Mexico;North America;Hypsiglena;Colubridae;Hypsiglena torquata;nao peconhento
Hypsiglena torquata;Mexico;South America;Hypsiglena;Colubridae;Hypsiglena torquata;nao peconhento
Hypsiglena torquata;Venezuela;South America;Hypsiglena;Colubridae;Hypsiglena torquata;nao peconhento
Hypsiglena torquata;Colombia;South America;Hypsiglena;Colubridae;Hypsiglena torquata;nao peconhento
Hypsiglena torquata;Japan;Asia;Hypsiglena;Colubridae;Hypsiglena torquata;nao peconhento
Hypsiglena torquata;Australia;Oceania;Hypsiglena;Colubridae;Hypsiglena torquata;nao peconhento
Hypsiglena torquata;Gabon;Africa;Hypsiglena;Colubridae;Hypsiglena torquata;nao peconhento
Hypsiglena torquata;Italy;Europe;Hypsiglena;Colubridae;Hypsiglena torquata;nao peconhento
Imantodes cenchoa;Ecuador;South America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;Peru;South America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;Mexico;North America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;unknown;unknown;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;Costa Rica;North America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;Trinidad and Tobago;South America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;Colombia;South America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;Costa Rica;South America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;Brazil;South America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;French Guiana;unknown;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;Belize;North America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;Guatemala;North America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;Panama;North America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;Mexico;South America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;Belize;South America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;Bolivia;South America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;Guyana;South America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;Panama;South America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;Honduras;North America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;Nicaragua;South America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;Nicaragua;North America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Imantodes cenchoa;Venezuela;South America;Imantodes;Colubridae;Imantodes cenchoa;nao peconhento
Lampropeltis alterna;United States of America;North America;Lampropeltis;Colubridae;Lampropeltis alterna;nao peconhento
Lampropeltis alterna;unknown;unknown;Lampropeltis;Colubridae;Lampropeltis alterna;nao peconhento
Lampropeltis alterna;Mexico;North America;Lampropeltis;Colubridae;Lampropeltis alterna;nao peconhento
Lampropeltis alterna;Mexico;South America;Lampropeltis;Colubridae;Lampropeltis alterna;nao peconhento
Lampropeltis calligaster;United States of America;North America;Lampropeltis;Colubridae;Lampropeltis calligaster;nao peconhento
Lampropeltis calligaster;unknown;unknown;Lampropeltis;Colubridae;Lampropeltis calligaster;nao peconhento
Lampropeltis getula;United States of America;North America;Lampropeltis;Colubridae;Lampropeltis getula;nao peconhento
Lampropeltis getula;unknown;unknown;Lampropeltis;Colubridae;Lampropeltis getula;nao peconhento
Lampropeltis pyromelana;unknown;unknown;Lampropeltis;Colubridae;Lampropeltis pyromelana;nao peconhento
Lampropeltis pyromelana;United States of America;North America;Lampropeltis;Colubridae;Lampropeltis pyromelana;nao peconhento
Lampropeltis triangulum;United States of America;North America;Lampropeltis;Colubridae;Lampropeltis triangulum;nao peconhento
Lampropeltis triangulum;Canada;North America;Lampropeltis;Colubridae;Lampropeltis triangulum;nao peconhento
Lampropeltis triangulum;unknown;unknown;Lampropeltis;Colubridae;Lampropeltis triangulum;nao peconhento
Lampropeltis triangulum;Netherlands;Europe;Lampropeltis;Colubridae;Lampropeltis triangulum;nao peconhento
Lampropeltis zonata;unknown;unknown;Lampropeltis;Colubridae;Lampropeltis zonata;nao peconhento
Lampropeltis zonata;United States of America;North America;Lampropeltis;Colubridae;Lampropeltis zonata;nao peconhento
Laticauda colubrina;unknown;unknown;Laticauda;Elapidae;Laticauda colubrina;peconhento
Laticauda colubrina;Indonesia;Asia;Laticauda;Elapidae;Laticauda colubrina;peconhento
Laticauda colubrina;Vanuatu;Oceania;Laticauda;Elapidae;Laticauda colubrina;peconhento
Laticauda colubrina;Taiwan;Asia;Laticauda;Elapidae;Laticauda colubrina;peconhento
Laticauda colubrina;India;Asia;Laticauda;Elapidae;Laticauda colubrina;peconhento
Laticauda colubrina;Papua New Guinea;Oceania;Laticauda;Elapidae;Laticauda colubrina;peconhento
Laticauda colubrina;Malaysia;Asia;Laticauda;Elapidae;Laticauda colubrina;peconhento
Laticauda colubrina;Netherlands;Europe;Laticauda;Elapidae;Laticauda colubrina;peconhento
Laticauda colubrina;Philippines;Asia;Laticauda;Elapidae;Laticauda colubrina;peconhento
Laticauda colubrina;Tonga;Oceania;Laticauda;Elapidae;Laticauda colubrina;peconhento
Laticauda colubrina;Fiji;Oceania;Laticauda;Elapidae;Laticauda colubrina;peconhento
Laticauda colubrina;Palau;Oceania;Laticauda;Elapidae;Laticauda colubrina;peconhento
Leptodeira annulata;Ecuador;South America;Leptodeira;Colubridae;Leptodeira annulata;nao peconhento
Leptodeira annulata;unknown;unknown;Leptodeira;Colubridae;Leptodeira annulata;nao peconhento
Leptodeira annulata;Venezuela;South America;Leptodeira;Colubridae;Leptodeira annulata;nao peconhento
Leptodeira annulata;French Guiana;unknown;Leptodeira;Colubridae;Leptodeira annulata;nao peconhento
Leptodeira annulata;Mexico;North America;Leptodeira;Colubridae;Leptodeira annulata;nao peconhento
Leptodeira annulata;Brazil;South America;Leptodeira;Colubridae;Leptodeira annulata;nao peconhento
Leptodeira annulata;Bolivia;South America;Leptodeira;Colubridae;Leptodeira annulata;nao peconhento
Leptodeira annulata;Colombia;South America;Leptodeira;Colubridae;Leptodeira annulata;nao peconhento
Leptodeira annulata;Mexico;South America;Leptodeira;Colubridae;Leptodeira annulata;nao peconhento
Leptodeira annulata;Costa Rica;North America;Leptodeira;Colubridae;Leptodeira annulata;nao peconhento
Leptodeira annulata;Peru;South America;Leptodeira;Colubridae;Leptodeira annulata;nao peconhento
Leptodeira annulata;Argentina;South America;Leptodeira;Colubridae;Leptodeira annulata;nao peconhento
Leptodeira annulata;Guatemala;North America;Leptodeira;Colubridae;Leptodeira annulata;nao peconhento
Leptodeira annulata;Trinidad and Tobago;South America;Leptodeira;Colubridae;Leptodeira annulata;nao peconhento
Leptodeira annulata;Panama;North America;Leptodeira;Colubridae;Leptodeira annulata;nao peconhento
Leptodeira annulata;Suriname;South America;Leptodeira;Colubridae;Leptodeira annulata;nao peconhento
Leptodeira annulata;El Salvador;North America;Leptodeira;Colubridae;Leptodeira annulata;nao peconhento
Leptodeira annulata;Guyana;South America;Leptodeira;Colubridae;Leptodeira annulata;nao peconhento
Leptodeira annulata;Honduras;South America;Leptodeira;Colubridae;Leptodeira annulata;nao peconhento
Leptodeira septentrionalis;Costa Rica;North America;Leptodeira;Colubridae;Leptodeira septentrionalis;nao peconhento
Leptodeira septentrionalis;unknown;unknown;Leptodeira;Colubridae;Leptodeira septentrionalis;nao peconhento
Leptodeira septentrionalis;United States of America;North America;Leptodeira;Colubridae;Leptodeira septentrionalis;nao peconhento
Leptodeira septentrionalis;Mexico;South America;Leptodeira;Colubridae;Leptodeira septentrionalis;nao peconhento
Leptodeira septentrionalis;El Salvador;North America;Leptodeira;Colubridae;Leptodeira septentrionalis;nao peconhento
Leptodeira septentrionalis;Mexico;North America;Leptodeira;Colubridae;Leptodeira septentrionalis;nao peconhento
Leptodeira septentrionalis;Guatemala;North America;Leptodeira;Colubridae;Leptodeira septentrionalis;nao peconhento
Leptodeira septentrionalis;Colombia;South America;Leptodeira;Colubridae;Leptodeira septentrionalis;nao peconhento
Leptodeira septentrionalis;Panama;North America;Leptodeira;Colubridae;Leptodeira septentrionalis;nao peconhento
Leptodeira septentrionalis;Honduras;North America;Leptodeira;Colubridae;Leptodeira septentrionalis;nao peconhento
Leptodeira septentrionalis;Ecuador;South America;Leptodeira;Colubridae;Leptodeira septentrionalis;nao peconhento
Leptodeira septentrionalis;Panama;South America;Leptodeira;Colubridae;Leptodeira septentrionalis;nao peconhento
Leptodeira septentrionalis;Costa Rica;South America;Leptodeira;Colubridae;Leptodeira septentrionalis;nao peconhento
Leptodeira septentrionalis;Belize;South America;Leptodeira;Colubridae;Leptodeira septentrionalis;nao peconhento
Leptodeira septentrionalis;Belize;North America;Leptodeira;Colubridae;Leptodeira septentrionalis;nao peconhento
Leptodeira septentrionalis;El Salvador;South America;Leptodeira;Colubridae;Leptodeira septentrionalis;nao peconhento
Leptophis ahaetulla;Brazil;South America;Leptophis;Colubridae;Leptophis ahaetulla;nao peconhento
Leptophis ahaetulla;Panama;South America;Leptophis;Colubridae;Leptophis ahaetulla;nao peconhento
Leptophis ahaetulla;Suriname;South America;Leptophis;Colubridae;Leptophis ahaetulla;nao peconhento
Leptophis ahaetulla;Ecuador;South America;Leptophis;Colubridae;Leptophis ahaetulla;nao peconhento
Leptophis ahaetulla;Panama;North America;Leptophis;Colubridae;Leptophis ahaetulla;nao peconhento
Leptophis ahaetulla;unknown;unknown;Leptophis;Colubridae;Leptophis ahaetulla;nao peconhento
Leptophis ahaetulla;Honduras;North America;Leptophis;Colubridae;Leptophis ahaetulla;nao peconhento
Leptophis ahaetulla;Costa Rica;North America;Leptophis;Colubridae;Leptophis ahaetulla;nao peconhento
Leptophis ahaetulla;Colombia;South America;Leptophis;Colubridae;Leptophis ahaetulla;nao peconhento
Leptophis ahaetulla;Mexico;North America;Leptophis;Colubridae;Leptophis ahaetulla;nao peconhento
Leptophis ahaetulla;Argentina;South America;Leptophis;Colubridae;Leptophis ahaetulla;nao peconhento
Leptophis ahaetulla;Bolivia;South America;Leptophis;Colubridae;Leptophis ahaetulla;nao peconhento
